"","x"
"1",15898
"2",15898
"3",15898
"4",15898
"5",15898
"6",7047.48989602306
"7",6931.11440327896
"8",6866.50721736931
"9",6604.69375224807
"10",5810.66569397683
"11",4075.44779801245
"12",3789.51587654461
"13",3569.85960357907
"14",3324.1577368991
"15",3427.35025963057
"16",2573.00126710129
"17",2077.69572889726
"18",2112.97887294389
"19",2113.32131506646
"20",2037.7241385357
"21",1703.57602849514
"22",1387.66525967759
"23",1405.96190973571
"24",1463.88710859355
"25",1321.08023890246
"26",1182.74052821855
"27",1016.21207733398
"28",954.056319385665
"29",1007.56361753886
"30",967.478836574375
"31",768.936000702002
"32",785.209657656819
"33",648.630548648389
"34",689.858424301722
"35",605.959606294922
"36",578.943226453906
"37",567.114866448291
"38",454.791199701456
"39",453.957820335233
"40",431.352447419356
"41",389.903425331818
"42",417.99985795537
"43",343.809783076096
"44",322.882513214871
"45",326.944763104859
"46",265.011243919844
"47",289.071614599843
"48",245.887814417617
"49",232.818875000926
"50",222.717004565633
"51",201.324617475062
"52",204.591157191338
"53",180.779134211804
"54",169.302934477849
"55",160.02923332652
"56",170.242024711249
"57",147.640148900208
"58",132.787225101403
"59",137.541689229471
"60",117.614226239745
