"","x"
"1",15898
"2",15898
"3",15898
"4",15898
"5",15898
"6",6651.20097048272
"7",6418.98613524983
"8",6984.6054418215
"9",6748.89370449098
"10",6206.82991716803
"11",4084.30322728748
"12",3885.96680310378
"13",3371.80187089685
"14",3266.45912372412
"15",3349.84640409561
"16",2449.86862202536
"17",2085.09378731355
"18",2089.47298417829
"19",2053.42200759228
"20",2070.44822315233
"21",1717.75573647379
"22",1548.7028196659
"23",1492.04569228311
"24",1434.8365612435
"25",1280.74668143525
"26",1132.21577966555
"27",996.801568116523
"28",922.12135159016
"29",969.926629102561
"30",879.884026308329
"31",758.784857524795
"32",709.721369328432
"33",651.655584880206
"34",643.000362650081
"35",533.313160207003
"36",529.098413418798
"37",498.45285840251
"38",443.185951068195
"39",468.490527942791
"40",408.711811908833
"41",421.055125213693
"42",381.560514885125
"43",335.018979280911
"44",323.383458106704
"45",328.05463689543
"46",304.805772990237
"47",288.660334801147
"48",267.709242677002
"49",243.190218544518
"50",252.269642557427
"51",231.672968806851
"52",224.987052706467
"53",207.943893510479
"54",179.103726683598
"55",159.072538010573
"56",159.014153989956
"57",175.683615878477
"58",141.444051247725
"59",131.43398486591
"60",126.704784050603
