"","x"
"1",15898
"2",15898
"3",15898
"4",15898
"5",15898
"6",23486.5337826911
"7",22567.1174898657
"8",23629.7208014225
"9",23064.115955993
"10",22085.7656090168
"11",26960.4924621799
"12",27231.3350553778
"13",25112.696724593
"14",26596.1779399673
"15",26620.8409221842
"16",26635.9781525147
"17",29223.6066916978
"18",28728.5337975552
"19",27148.9736840782
"20",29299.532680201
"21",29147.6640440761
"22",31199.5993990901
"23",30201.8352905942
"24",31656.3666567584
"25",31739.5517624605
"26",32054.7796161836
"27",31636.88391097
"28",31129.2888324435
"29",31932.6203419336
"30",33341.1344512224
"31",30979.9819632011
"32",31721.7291745022
"33",29906.1546985538
"34",33351.8187898342
"35",32552.4965731838
"36",33153.158730566
"37",30379.7322978893
"38",30903.6412337875
"39",31976.2461039095
"40",31013.2768221159
"41",31141.3325718592
"42",32649.5879738345
"43",30894.5091199273
"44",31281.400730391
"45",31804.6508346571
"46",32980.3179484359
"47",34006.2532776277
"48",31338.0684422278
"49",32136.6422754394
"50",32702.1687655276
"51",33618.0188268936
"52",34751.0156907035
"53",32384.7128172488
"54",32035.3362392248
"55",32366.7030242558
"56",32535.7239693098
"57",32950.2486530817
"58",32861.2301456171
"59",30982.4283897862
"60",32133.5167564499
